City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
149,Burnie,AU,51.94,clear sky,-41.0667,145.9167,Beachfront Voyager Motor Inn
150,Nangomba,TZ,73.87,few clouds,-10.9,38.5,
153,Mahebourg,MU,69.26,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
154,Lardos,GR,62.42,clear sky,36.0942,28.0157,Lindos Princess Beach Hotel
158,Mizdah,LY,57.6,clear sky,31.4451,12.9801,محمدالمبروك الاريقط
160,Buraydah,SA,68.45,overcast clouds,26.326,43.975,Mövenpick Qassim
161,San Cristobal,VE,73.58,broken clouds,7.7669,-72.225,Pirineos
162,Abu Samrah,SY,56.68,few clouds,35.3029,37.1841,
163,Chyhyryn,UA,42.4,overcast clouds,49.0838,32.6555,Panatseya
164,Sumbe,AO,75.49,overcast clouds,-11.2061,13.8437,Hotel Ritz Sumbe
165,Alpharetta,US,46.31,overcast clouds,34.0754,-84.2941,Hilton Garden Inn Atlanta Northpoint
166,Alghero,IT,57.29,clear sky,40.5589,8.3181,Smy Carlos V Alghero
167,Middelburg,ZA,66.78,clear sky,-25.7751,29.4648,Oregon Place Guest House
168,Poum,NC,79.38,overcast clouds,-20.2333,164.0167,
170,Port Alfred,ZA,62.19,broken clouds,-33.5906,26.891,The Halyards Hotel & Spa
171,Yeppoon,AU,76.78,overcast clouds,-23.1333,150.7333,Villa Mar Colina
173,Huicungo,PE,70.16,overcast clouds,-7.2833,-76.8,Gran Pajaten Trek
178,Kaitangata,NZ,55.45,overcast clouds,-46.2817,169.8464,Kaitangata Motor Camp
180,Aswan,EG,61.9,clear sky,24.0934,32.907,Nuba Nile
181,Ukiah,US,73.65,clear sky,39.1502,-123.2078,Hampton Inn Ukiah
182,Peniche,PT,66.11,overcast clouds,39.3558,-9.3811,Hotel Star inn Peniche
184,Port Hedland,AU,69.85,broken clouds,-20.3167,118.5667,The Esplanade Hotel
185,Imphal,IN,50.36,clear sky,24.8167,93.95,State Guest House
186,Ponte San Pietro,IT,51.04,overcast clouds,45.6963,9.5849,ART & HOTEL TREVIOLO
187,Oyem,GA,67.46,overcast clouds,1.5995,11.5793,Commissariat de police
191,Bahia Blanca,AR,69.3,few clouds,-38.7196,-62.2724,Hotel Argos
193,Penzance,GB,50.68,overcast clouds,50.1186,-5.5371,Artist Residence Penzance
196,Nokaneng,BW,77.74,clear sky,-19.6667,22.2667,
197,Imbituba,BR,66.22,clear sky,-28.24,-48.6703,Praia Hotel Imbituba
199,Labuan,MY,79.16,few clouds,5.2767,115.2417,Tiara Labuan Hotel
200,Esperance,AU,62.83,overcast clouds,-33.8667,121.9,Hospitality Esperance
201,Bergen,NO,46.81,clear sky,60.392,5.328,Clarion Collection Hotel Havnekontoret
205,Jalu,LY,62.56,clear sky,29.0331,21.5482,صاحبة الفخامة
206,Eldama Ravine,KE,56.59,light rain,0.0516,35.7308,Chambai Springs Hotel
207,Sao Felix Do Xingu,BR,74.3,moderate rain,-6.6447,-51.995,Rio Xingu Camping
208,Pitimbu,BR,79.39,scattered clouds,-7.4706,-34.8086,Reserva do Abiaí
209,Adrar,MR,76.28,clear sky,20.5022,-10.0711,
210,Sitka,US,51.69,few clouds,57.0531,-135.33,Westmark Sitka
214,Lishui,CN,60.8,overcast clouds,28.4604,119.9103,Bayi Hotel
216,Bloomfield,US,47.84,overcast clouds,40.8068,-74.1854,Troy Carroll
218,Gat,IL,64.4,scattered clouds,31.61,34.7642,OlusHome
220,Xai-Xai,MZ,70.07,few clouds,-25.0519,33.6442,Complexo da Familia
221,Cidreira,BR,67.73,clear sky,-30.1811,-50.2056,Hotel Castelo
223,Rawson,AR,63.73,clear sky,-43.3002,-65.1023,Hosteria Sampedro
224,Trybukhivtsi,UA,42.69,overcast clouds,49.0436,25.4581,"БУЧАЧ, РЕСТОРАН"
227,Mogadishu,SO,79.05,clear sky,2.0371,45.3438,Hotel Juba
228,Dunedin,NZ,55.8,light rain,-45.8742,170.5036,Scenic Hotel Southern Cross
229,Itu,BR,74.32,few clouds,-23.2642,-47.2992,Hotel KK
230,Thanh Hoa,VN,73.02,few clouds,19.8,105.7667,Khách Sạn Ngọc Ly 8
233,Ballater,GB,48.0,light rain,57.0493,-3.0402,Balmoral Arms
234,Palu,ID,78.08,overcast clouds,-0.8917,119.8707,Hotel Santika Palu
236,Kawasaki,JP,54.01,scattered clouds,35.5206,139.7172,Toyoko INN Kawasaki-Ekimae Shiyakusho-dori
237,Aguimes,ES,72.66,clear sky,27.9054,-15.4461,Hotel Villa de Aguimes
238,Havelock,US,60.78,few clouds,34.8791,-76.9013,Sherwood Motel
239,Kendari,ID,76.78,overcast clouds,-3.945,122.4989,Hotel Wixel
241,Paita,PE,65.43,broken clouds,-5.0892,-81.1144,Hotel Náutico de Paita
243,Morehead,US,40.98,overcast clouds,37.2711,-87.1764,CCI Express Inn
244,Durban,ZA,69.93,overcast clouds,-29.8579,31.0292,Hilton Durban
250,Antofagasta,CL,65.48,clear sky,-23.65,-70.4,"Holiday Inn Express Antofagasta, an IHG Hotel"
252,Muros,ES,62.1,overcast clouds,42.7762,-9.0603,Apartment Av. Castelao
253,Port Hardy,CA,41.18,scattered clouds,50.6996,-127.4199,Airport Inn-Port Hardy
255,Mbeya,TZ,64.18,broken clouds,-8.9,33.45,Leda Lodge
256,Pavagada,IN,65.57,clear sky,14.1,77.2667,HOTEL GAYATHRI COMFORTS
257,Constitucion,CL,61.39,scattered clouds,-35.3333,-72.4167,Hotel Boutique Las Azucenas
258,Kotido,UG,70.95,broken clouds,2.9806,34.1331,Loware Joseph Mukasa's Residence
260,Floro,NO,51.96,clear sky,61.5996,5.0328,Kinn Hotell Florø
262,Coihaique,CL,60.75,scattered clouds,-45.5752,-72.0662,Diego De Almagro Coyhaique
265,Labuhan,ID,79.75,overcast clouds,-6.8844,112.2051,DoubleFAG
266,Mayo,US,47.1,clear sky,38.8876,-76.5119,Resorts Resource Group International
267,Klaksvik,FO,50.92,light rain,62.2266,-6.589,Airbnb rooms
268,Amapa,BR,75.78,overcast clouds,1.0,-52.0,
269,Le Port,RE,70.25,scattered clouds,-20.9373,55.2919,KORBEY D'OR OUEST
270,Yulara,AU,71.24,few clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
272,Mahanje,TZ,66.47,scattered clouds,-9.9333,35.3333,Amani social Hall
276,Kankon,IN,74.62,light rain,15.0167,74.0167,Palolem Beach Resort
278,Victor Harbor,AU,58.68,clear sky,-35.5667,138.6167,McCracken Country Club
282,Faya,SA,55.51,clear sky,18.3851,42.4509,شيلة نسايم
283,Artyom,AZ,53.74,overcast clouds,40.4723,50.333,
284,Rognan,NO,44.74,broken clouds,67.0953,15.3878,Rognan Hotell
287,Horsham,GB,55.63,moderate rain,51.064,-0.3272,Springfields Hotel
288,Marsh Harbour,BS,79.34,broken clouds,26.5412,-77.0636,Abaco Beach Resort
290,Praia,CV,77.54,few clouds,14.9215,-23.5087,LT Aparthotel
292,Sabana Grande De Boya,DO,77.25,clear sky,18.945,-69.7933,Balcones De Boya
295,Salamiyah,SY,56.17,scattered clouds,35.0113,37.0532,Gondolas Forum grandchildren and grandparents
296,Poplar Bluff,US,42.58,broken clouds,36.757,-90.3929,Holiday Inn Poplar Bluff
298,Seoul,KR,44.04,few clouds,37.5683,126.9778,LOTTE HOTEL SEOUL
299,Riyadh,SA,73.54,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
300,Pucallpa,PE,75.24,broken clouds,-8.3791,-74.5539,Hotel Sol de Oriente - Pucallpa
302,Saldanha,ZA,57.25,broken clouds,-33.0117,17.9442,Blue Bay Lodge
303,Protivin,CZ,43.9,overcast clouds,49.1995,14.2172,"""U Šerifa"""
305,Vulcan,RO,45.19,overcast clouds,45.3833,23.2667,Green Paradise Restaurant
308,Camacha,PT,67.42,light intensity drizzle,33.0833,-16.3333,Hotel Porto Santo & Spa
