City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
202,Vydrino,RU,51.485,104.8461,32.16,74,73,8.19,broken clouds
203,Port Moresby,PG,-9.4431,147.1797,83.62,79,40,3.44,scattered clouds
204,Torbay,CA,47.6666,-52.7314,33.58,77,75,10.36,broken clouds
205,Jalu,LY,29.0331,21.5482,62.56,38,0,8.97,clear sky
206,Eldama Ravine,KE,0.0516,35.7308,56.59,95,100,2.33,light rain
207,Sao Felix Do Xingu,BR,-6.6447,-51.995,74.3,96,100,1.5,moderate rain
208,Pitimbu,BR,-7.4706,-34.8086,79.39,75,45,7.63,scattered clouds
209,Adrar,MR,20.5022,-10.0711,76.28,26,0,11.01,clear sky
210,Sitka,US,57.0531,-135.33,51.69,71,20,5.75,few clouds
211,Eydhafushi,MV,5.1033,73.0708,80.91,75,93,9.08,overcast clouds
212,Kargasok,RU,59.0556,80.8572,-0.06,92,97,8.95,overcast clouds
213,Belaya Gora,RU,68.5333,146.4167,-20.24,97,100,2.57,overcast clouds
214,Lishui,CN,28.4604,119.9103,60.8,96,91,1.99,overcast clouds
215,Deputatskiy,RU,69.3,139.9,-27.36,99,97,1.92,overcast clouds
216,Bloomfield,US,40.8068,-74.1854,47.84,61,100,16.11,overcast clouds
217,Haines Junction,CA,60.7522,-137.5108,21.15,79,96,1.14,overcast clouds
218,Gat,IL,31.61,34.7642,64.4,100,37,4.43,scattered clouds
219,Longyearbyen,SJ,78.2186,15.6401,24.64,63,20,14.97,few clouds
220,Xai-Xai,MZ,-25.0519,33.6442,70.07,73,15,5.14,few clouds
221,Cidreira,BR,-30.1811,-50.2056,67.73,61,0,4.61,clear sky
222,Vitim,RU,59.4511,112.5578,31.35,97,100,9.4,light snow
223,Rawson,AR,-43.3002,-65.1023,63.73,50,0,18.41,clear sky
224,Trybukhivtsi,UA,49.0436,25.4581,42.69,94,100,3.47,overcast clouds
225,Bakel,SN,14.905,-12.4568,84.43,23,80,8.16,broken clouds
226,Kedrovyy,RU,56.1667,91.8167,30.87,79,97,5.97,overcast clouds
227,Mogadishu,SO,2.0371,45.3438,79.05,81,2,12.06,clear sky
228,Dunedin,NZ,-45.8742,170.5036,55.8,99,100,2.89,light rain
229,Itu,BR,-23.2642,-47.2992,74.32,59,12,16.53,few clouds
230,Thanh Hoa,VN,19.8,105.7667,73.02,96,17,1.99,few clouds
231,Butaritari,KI,3.0707,172.7902,80.91,74,64,20.47,broken clouds
232,Ust-Nera,RU,64.5667,143.2,-15.12,97,100,1.68,overcast clouds
233,Ballater,GB,57.0493,-3.0402,48.0,94,100,4.81,light rain
234,Palu,ID,-0.8917,119.8707,78.08,87,100,2.64,overcast clouds
235,Bubaque,GW,11.2833,-15.8333,82.24,73,100,6.04,light rain
236,Kawasaki,JP,35.5206,139.7172,54.01,63,40,8.05,scattered clouds
237,Aguimes,ES,27.9054,-15.4461,72.66,64,0,8.05,clear sky
238,Havelock,US,34.8791,-76.9013,60.78,81,20,4.61,few clouds
239,Kendari,ID,-3.945,122.4989,76.78,91,100,3.0,overcast clouds
240,Kurchum,KZ,48.5722,83.6542,19.38,74,60,7.74,broken clouds
241,Paita,PE,-5.0892,-81.1144,65.43,83,66,18.61,broken clouds
242,Huixtla,MX,15.15,-92.4667,85.68,85,31,1.86,light rain
243,Morehead,US,37.2711,-87.1764,40.98,50,100,11.99,overcast clouds
244,Durban,ZA,-29.8579,31.0292,69.93,93,99,3.0,overcast clouds
245,Beringovskiy,RU,63.05,179.3167,31.14,93,100,4.56,overcast clouds
246,La Ronge,CA,55.1001,-105.2842,17.85,73,100,19.57,light snow
247,Severo-Yeniseyskiy,RU,60.3725,93.0408,0.39,99,100,3.11,overcast clouds
248,Nome,US,64.5011,-165.4064,30.27,80,100,18.41,overcast clouds
249,Kahului,US,20.8947,-156.47,84.22,61,20,21.85,few clouds
250,Antofagasta,CL,-23.65,-70.4,65.48,75,6,4.65,clear sky
251,Zhigansk,RU,66.7697,123.3711,-18.65,90,100,11.12,overcast clouds
252,Muros,ES,42.7762,-9.0603,62.1,80,100,15.48,overcast clouds
253,Port Hardy,CA,50.6996,-127.4199,41.18,87,40,3.44,scattered clouds
254,Chokurdakh,RU,70.6333,147.9167,-21.5,99,97,4.16,overcast clouds
255,Mbeya,TZ,-8.9,33.45,64.18,68,83,2.53,broken clouds
256,Pavagada,IN,14.1,77.2667,65.57,76,4,3.85,clear sky
257,Constitucion,CL,-35.3333,-72.4167,61.39,75,40,14.56,scattered clouds
